model,mean_f1,std_f1
DecisionTree,0.8746501781331203,0.029116950869610504
GradientBoosting,0.8727894434882387,0.03909009864793041
RandomForest,0.8680803683605589,0.06204752889129331
SVM,0.749635034733459,0.025137728746144627
KNN,0.7376890054587681,0.039178819518587406
LogReg,0.697246714638019,0.03560242654286018
